seqnames,start,end,Log2FC,FDR,MeanDiff,group_name
chr2,201319545,201320045,1.397211232,5.46E-15,0.294808252,C1
chr1,61797815,61798315,2.668439074,6.16E-15,0.299076349,C1
chr12,104888195,104888695,2.462016182,6.27E-15,0.303022814,C1
chr2,39033082,39033582,2.928973995,6.27E-15,0.265607969,C1
chr10,44277342,44277842,2.397430393,6.81E-15,0.360738323,C1
chr5,156771425,156771925,1.826521714,8.35E-15,0.364287761,C1
chr20,23388600,23389100,2.050567208,8.68E-15,0.293913378,C1
chr6,161450100,161450600,3.201027338,9.24E-15,0.2496877,C1
chr3,194924341,194924841,2.542087248,1.07E-14,0.337223028,C1
chr17,80845124,80845624,5.059322861,1.21E-14,0.229219899,C1
chr15,65904820,65905320,2.527557698,1.50E-14,0.293084002,C1
chr22,47365403,47365903,3.709382338,1.51E-14,0.349361325,C1
chr2,191587169,191587669,2.221692354,1.68E-14,0.287309855,C1
chr10,97559939,97560439,2.127462783,1.88E-14,0.260931588,C1
chr6,106235061,106235561,3.093993476,2.11E-14,0.226458437,C1
chr3,66524002,66524502,2.754670115,2.50E-14,0.287341111,C1
chr6,14706544,14707044,3.074052852,2.68E-14,0.342356213,C1
chr2,204695022,204695522,2.921528053,2.93E-14,0.347636674,C1
chr20,48151348,48151848,2.282106469,2.96E-14,0.32095005,C1
chr9,137540948,137541448,4.112835822,3.01E-14,0.244916554,C1
chr1,230345396,230345896,2.557020435,3.05E-14,0.309614823,C1
chr11,129830119,129830619,2.829709638,3.15E-14,0.291378521,C1
chr13,76971524,76972024,3.576545614,3.15E-14,0.277486844,C1
chr14,77838753,77839253,4.846947343,3.15E-14,0.207700681,C1
chr15,85855581,85856081,1.91640246,3.15E-14,0.293907017,C1
chr13,101046485,101046985,3.180412144,3.33E-14,0.235342523,C1
chr12,99135635,99136135,3.742991428,3.48E-14,0.250925638,C1
chr6,119001857,119002357,3.062668808,3.79E-14,0.329354739,C1
chr17,55500056,55500556,2.746482516,4.09E-14,0.293723683,C1
chr15,40397763,40398263,3.097180464,4.69E-14,0.298420453,C1
chr3,194850294,194850794,2.287578728,4.71E-14,0.277075031,C1
chr9,114791046,114791546,3.380837825,4.99E-14,0.344760833,C1
chr2,177355862,177356362,2.129522417,6.78E-14,0.38622686,C1
chr2,25783955,25784455,2.783590139,7.03E-14,0.30527988,C1
chr5,138772892,138773392,1.979095274,7.03E-14,0.268505709,C1
chr5,156946754,156947254,3.776244036,7.09E-14,0.260140711,C1
chr7,2797799,2798299,1.341405715,7.09E-14,0.434342263,C1
chr1,229576688,229577188,2.075430918,7.32E-14,0.303266161,C1
chr6,161459392,161459892,3.041544294,7.71E-14,0.236536175,C1
chr9,34091992,34092492,5.702861339,1.31E-13,0.192230637,C1
chr7,116764696,116765196,2.706890185,1.46E-13,0.392934669,C1
chr6,11324792,11325292,2.7663281,1.47E-13,0.320677028,C1
chr1,230409858,230410358,3.582219454,1.49E-13,0.229749673,C1
chr20,48151860,48152360,3.540495671,1.51E-13,0.22009708,C1
chr6,21265829,21266329,4.916046634,1.61E-13,0.203178476,C1
chr3,195838827,195839327,2.763900317,1.71E-13,0.248069715,C1
chr1,211512989,211513489,3.97277445,1.76E-13,0.301870147,C1
chr11,111397244,111397744,3.753222024,1.83E-13,0.216931118,C1
chr12,50580831,50581331,3.098048207,1.83E-13,0.170536182,C1
chr11,111409439,111409939,2.203097257,1.89E-13,0.248440414,C1
chr2,191583386,191583886,2.15557641,2.38E-13,0.260037632,C1
chr6,135965531,135966031,4.312646104,2.40E-13,0.235204389,C1
chr13,100307776,100308276,2.34742524,2.48E-13,0.304893101,C1
chr15,99850970,99851470,4.196185191,2.48E-13,0.216238222,C1
chr15,70434447,70434947,2.247698374,2.58E-13,0.209684711,C1
chr3,8545987,8546487,4.157466719,2.75E-13,0.208784522,C1
chr14,75965301,75965801,2.976170068,2.77E-13,0.264953255,C1
chr1,235110757,235111257,4.31144757,2.77E-13,0.278861483,C1
chr10,75126366,75126866,3.636996871,2.79E-13,0.21141031,C1
chr2,204756081,204756581,3.269504674,2.86E-13,0.232577823,C1
chr6,135904301,135904801,3.083508638,2.86E-13,0.230260028,C1
chr2,175709037,175709537,3.216728862,2.89E-13,0.262973288,C1
chr8,116197679,116198179,2.442669114,2.89E-13,0.273114174,C1
chr8,126692470,126692970,6.009138178,2.89E-13,0.184249641,C1
chr17,53167460,53167960,1.915821164,3.38E-13,0.353678638,C1
chr1,200442775,200443275,2.406482095,3.41E-13,0.330828143,C1
chr15,50533779,50534279,3.484013777,3.84E-13,0.216186503,C1
chr11,109841187,109841687,3.62194657,3.94E-13,0.209899518,C1
chr20,56361301,56361801,4.414173248,4.00E-13,0.267803399,C1
chr16,23681374,23681874,2.983992338,4.59E-13,0.246305429,C1
chr2,181901596,181902096,1.576954625,4.85E-13,0.3179902,C1
chr12,30948312,30948812,2.147159281,5.12E-13,0.272025298,C1
chr11,109857140,109857640,5.696278175,5.22E-13,0.246728036,C1
chr3,4847187,4847687,2.135016542,6.02E-13,0.206211994,C1
chr6,143762777,143763277,2.098766888,6.34E-13,0.332809691,C1
chr1,230441869,230442369,2.591721889,6.47E-13,0.256886493,C1
chr12,95496875,95497375,1.623004902,6.82E-13,0.379604454,C1
chr8,126122971,126123471,2.176352909,6.98E-13,0.273034412,C1
chr4,124341170,124341670,2.826073425,7.10E-13,0.250518121,C1
chr6,21438713,21439213,2.40389701,7.11E-13,0.247002968,C1
chr12,90162880,90163380,3.108986198,7.70E-13,0.305423008,C1
chr5,52300688,52301188,2.264717598,7.86E-13,0.34462009,C1
chr2,135441003,135441503,2.509338556,8.66E-13,0.335409506,C1
chr1,66277622,66278122,2.08753688,8.99E-13,0.344957001,C1
chr12,56428243,56428743,2.422259492,9.37E-13,0.268278115,C1
chr4,10731477,10731977,3.669415718,1.01E-12,0.228764131,C1
chr5,66124322,66124822,1.231940192,1.03E-12,0.313835846,C1
chr12,94247753,94248253,3.622766654,1.15E-12,0.25193134,C1
chr1,32378333,32378833,2.486364415,1.19E-12,0.276706793,C1
chr22,43400272,43400772,2.46158777,1.26E-12,0.238882248,C1
chr2,29537554,29538054,1.645975332,1.34E-12,0.339610466,C1
chr8,48812358,48812858,2.862954434,1.44E-12,0.277354429,C1
chr2,191586656,191587156,2.86647013,1.45E-12,0.290922053,C1
chr9,130200059,130200559,1.612089746,1.47E-12,0.299430912,C1
chr12,99134856,99135356,2.632854076,1.50E-12,0.254794194,C1
chr1,61784422,61784922,2.405443577,1.61E-12,0.283666412,C1
chr4,26090215,26090715,2.517529055,1.68E-12,0.255688741,C1
chr6,45409528,45410028,2.304723873,1.68E-12,0.212006367,C1
chr10,64412212,64412712,3.59750113,1.72E-12,0.197172458,C1
chr4,5760502,5761002,3.080160587,1.81E-12,0.306047379,C1
chr8,95246591,95247091,2.398237745,1.90E-12,0.287198366,C1
chr19,6065827,6066327,1.76330319,1.91E-12,0.27226587,C1
chr2,233646366,233646866,1.751793829,1.91E-12,0.292044072,C1
chr8,29743269,29743769,4.562680621,1.98E-12,0.280113395,C1
chr1,230259441,230259941,2.151320394,2.12E-12,0.269455348,C1
chr15,61145240,61145740,5.052150534,2.23E-12,0.224575685,C1
chr6,105932871,105933371,1.816487518,2.63E-12,0.226335956,C1
chr11,111249385,111249885,2.578275684,2.69E-12,0.23190228,C1
chr12,96819122,96819622,1.820624012,2.86E-12,0.23147127,C1
chr10,5904205,5904705,4.476952017,2.88E-12,0.242233024,C1
chr10,116097072,116097572,3.07398698,2.88E-12,0.36182013,C1
chr13,75886921,75887421,2.700458117,2.88E-12,0.262600363,C1
chr10,112208414,112208914,3.576310231,3.10E-12,0.185386981,C1
chr4,106273907,106274407,3.259870044,3.46E-12,0.214958118,C1
chr3,171860008,171860508,2.349490749,3.60E-12,0.21313757,C1
chr4,26146747,26147247,4.259606377,3.60E-12,0.24869887,C1
chr5,52337080,52337580,1.825506197,3.60E-12,0.280536995,C1
chr5,64844035,64844535,4.013335141,3.60E-12,0.22774448,C1
chr4,153475338,153475838,1.485507673,3.62E-12,0.409828868,C1
chr1,172844036,172844536,2.797503519,3.73E-12,0.276635318,C1
chr13,75939943,75940443,1.097264557,3.73E-12,0.308638004,C1
chr8,29260133,29260633,1.667243463,3.76E-12,0.342850698,C1
chr10,33425176,33425676,1.957009464,3.77E-12,0.375140831,C1
chr14,74163104,74163604,2.431111662,3.80E-12,0.242650963,C1
chr1,110365752,110366252,2.565104922,4.04E-12,0.220856092,C1
chr3,132255252,132255752,3.828231265,4.43E-12,0.199577432,C1
chr16,17684974,17685474,1.563578054,4.65E-12,0.494448615,C1
chr3,4637277,4637777,6.793759398,4.95E-12,0.222120209,C1
chr7,156569997,156570497,2.720969849,5.10E-12,0.243086406,C1
chr7,55376634,55377134,1.311646375,5.20E-12,0.521041862,C1
chr2,200842736,200843236,2.807762561,5.22E-12,0.248500131,C1
chr3,4947843,4948343,2.099600197,5.22E-12,0.303387509,C1
chr2,228682785,228683285,1.879647265,5.61E-12,0.320074586,C1
chr6,37000954,37001454,1.835611058,6.08E-12,0.319259257,C1
chr8,29784151,29784651,2.407657989,6.25E-12,0.31430386,C1
chr16,88657966,88658466,3.056691265,6.37E-12,0.224924012,C1
chr1,66295924,66296424,3.555482521,6.39E-12,0.175666759,C1
chr6,39222736,39223236,2.314274559,6.39E-12,0.243870038,C1
chr14,65929058,65929558,2.451572996,6.96E-12,0.243940416,C1
chr2,64565966,64566466,2.453779623,6.99E-12,0.231197517,C1
chr15,64543272,64543772,2.337386033,7.19E-12,0.266263781,C1
chr10,8842344,8842844,5.403182567,7.22E-12,0.224372448,C1
chr8,19319354,19319854,1.906714903,7.46E-12,0.29904235,C1
chr6,2862832,2863332,1.20955298,7.47E-12,0.245622931,C1
chr14,73930116,73930616,2.638001547,7.57E-12,0.261816663,C1
chr20,30328075,30328575,1.409860989,7.62E-12,0.341255673,C1
chr1,115615828,115616328,3.785592069,7.64E-12,0.248951861,C1
chr3,126642267,126642767,3.089514071,8.06E-12,0.203184804,C1
chrX,20534205,20534705,2.833270643,8.43E-12,0.234621368,C1
chr9,90918935,90919435,2.254934512,8.70E-12,0.21933077,C1
chr14,73430178,73430678,2.875488449,9.09E-12,0.220813144,C1
chr17,55577034,55577534,3.052024169,9.52E-12,0.202015768,C1
chr2,7608103,7608603,1.583738387,9.56E-12,0.421641152,C1
chr2,111616573,111617073,3.109644132,9.57E-12,0.213913974,C1
chr13,44877041,44877541,2.926158243,1.01E-11,0.242099934,C1
chr12,52742868,52743368,2.457700985,1.03E-11,0.209709834,C1
chr1,231523572,231524072,4.633866353,1.12E-11,0.188011412,C1
chr9,94103626,94104126,3.158323356,1.16E-11,0.219068543,C1
chr6,126225964,126226464,1.895393899,1.20E-11,0.345202731,C1
chr10,116147976,116148476,4.800539203,1.21E-11,0.207827597,C1
chr1,236697436,236697936,1.339295187,1.24E-11,0.344101409,C1
chr2,200093776,200094276,1.918206059,1.27E-11,0.317534263,C1
chr11,72379626,72380126,2.187056735,1.32E-11,0.274576621,C1
chr14,102102456,102102956,3.619953041,1.35E-11,0.281660604,C1
chr2,176019215,176019715,1.97113194,1.37E-11,0.271125394,C1
chr1,59820911,59821411,4.260990789,1.38E-11,0.197562169,C1
chr18,20863788,20864288,2.974922584,1.40E-11,0.250582559,C1
chr18,13566859,13567359,1.827488649,1.43E-11,0.183896021,C1
chr6,105932333,105932833,1.529249067,1.43E-11,0.276628552,C1
chr6,88424089,88424589,1.844743232,1.44E-11,0.321449459,C1
chr5,40224060,40224560,2.24043333,1.44E-11,0.271125178,C1
chr8,95274248,95274748,2.026138078,1.45E-11,0.266245778,C1
chr10,112373610,112374110,1.977296599,1.48E-11,0.294789041,C1
chr22,35806143,35806643,1.913339196,1.52E-11,0.362879065,C1
chr12,76028838,76029338,3.212577258,1.54E-11,0.166970566,C1
chr11,16771160,16771660,3.180433416,1.57E-11,0.195236362,C1
chr16,24201230,24201730,3.931888324,1.58E-11,0.185870122,C1
chr2,234139376,234139876,3.424320785,1.61E-11,0.27565111,C1
chr11,113458120,113458620,3.729118461,1.68E-11,0.290914978,C1
chr10,2992089,2992589,2.731874427,1.70E-11,0.219287262,C1
chr14,76032657,76033157,1.232765069,1.76E-11,0.348676134,C1
chr10,124250704,124251204,2.612273041,1.87E-11,0.219595174,C1
chr6,158244932,158245432,1.630085835,1.88E-11,0.3883787,C1
chr2,223315930,223316430,3.713845262,1.90E-11,0.245630092,C1
chr6,106123906,106124406,2.889687111,1.93E-11,0.178521,C1
chr6,116457970,116458470,1.981685058,1.93E-11,0.309731243,C1
chr1,172840280,172840780,2.27262963,1.94E-11,0.28621391,C1
chr19,24237309,24237809,2.995322165,2.14E-11,0.256502134,C1
chr9,22148077,22148577,2.510347243,2.15E-11,0.320104077,C1
chr16,72508388,72508888,2.432684497,2.17E-11,0.202215903,C1
chrX,1780241,1780741,1.053479027,2.21E-11,0.54167717,C1
chrX,120441996,120442496,2.542307524,2.32E-11,0.276209709,C1
chr5,156817495,156817995,1.168065568,2.64E-11,0.499830542,C1
chr18,51675336,51675836,2.64555338,2.73E-11,0.263761332,C1
chr15,81003354,81003854,3.859370368,2.75E-11,0.217499203,C1
chr4,185435404,185435904,1.923116595,2.86E-11,0.26746236,C1
chr22,40721233,40721733,1.494005201,2.97E-11,0.327454725,C1
chr5,134255673,134256173,3.152265957,3.04E-11,0.189350227,C1
chr3,133311641,133312141,2.619816128,3.07E-11,0.314468745,C1
chr10,124148073,124148573,4.529394855,3.07E-11,0.183352268,C1
chr12,69555564,69556064,2.224880127,3.15E-11,0.28844801,C1
chr14,68146777,68147277,1.699209757,3.18E-11,0.313885626,C1
chr3,41014838,41015338,4.233455564,3.19E-11,0.153391272,C1
chr10,116106862,116107362,2.652190604,3.52E-11,0.243808924,C1
chr8,95271217,95271717,3.173477705,3.62E-11,0.220936879,C1
chr17,53239549,53240049,4.150544406,3.82E-11,0.177710154,C1
chr2,149571189,149571689,1.590976536,3.95E-11,0.398731283,C1
chr11,109961097,109961597,2.319741845,4.06E-11,0.234819301,C1
chrX,9099097,9099597,3.345698365,4.07E-11,0.279289232,C1
chr2,179269061,179269561,3.078950436,4.16E-11,0.241757457,C1
chr1,160776973,160777473,2.561880166,4.44E-11,0.293253514,C1
chr6,45888530,45889030,3.327081576,4.60E-11,0.183533721,C1
chr10,26735105,26735605,2.67690585,4.73E-11,0.247257088,C1
chr2,98304795,98305295,3.80031701,4.91E-11,0.176095359,C1
chr16,67345499,67345999,1.585120408,4.95E-11,0.463773754,C1
chr6,109812460,109812960,1.811967029,5.33E-11,0.287561883,C1
chr3,189281620,189282120,2.893248077,5.37E-11,0.292369206,C1
chr10,17690413,17690913,1.570139855,5.48E-11,0.306053974,C1
chr7,42908997,42909497,1.354775901,5.64E-11,0.234981307,C1
chr20,54948883,54949383,2.201750478,5.82E-11,0.247862242,C1
chr1,94181142,94181642,5.539615668,6.09E-11,0.193329428,C1
chr6,11368939,11369439,2.629982765,6.30E-11,0.190976627,C1
chr21,43319472,43319972,3.109576643,6.51E-11,0.231199059,C1
chr2,61344626,61345126,2.917807919,6.76E-11,0.256176888,C1
chr19,2168826,2169326,1.831982804,6.95E-11,0.388216866,C1
chr2,145131909,145132409,5.321313945,7.14E-11,0.170085052,C1
chr1,89930796,89931296,1.951239137,7.36E-11,0.273986901,C1
chr5,16785150,16785650,2.578706755,7.47E-11,0.16488102,C1
chr1,211593666,211594166,3.630356876,7.60E-11,0.226595699,C1
chr18,77960031,77960531,1.897599034,7.60E-11,0.254247992,C1
chr3,101811350,101811850,2.088349245,7.98E-11,0.226303662,C1
chr5,52333296,52333796,2.962896802,8.04E-11,0.173837784,C1
chr9,138818642,138819142,2.341079497,8.05E-11,0.339018835,C1
chr13,45332844,45333344,3.17379937,8.08E-11,0.201675168,C1
chr8,29230643,29231143,3.575026132,8.13E-11,0.180561277,C1
chr2,120585619,120586119,1.469491429,8.34E-11,0.277058752,C1
chr2,112381980,112382480,3.412876466,8.72E-11,0.156963665,C1
chr6,21402609,21403109,4.20659532,8.74E-11,0.170060893,C1
chr14,93022761,93023261,2.079580104,8.80E-11,0.191927556,C1
chr6,74432341,74432841,3.4008541,9.07E-11,0.241292162,C1
chr4,25856462,25856962,1.606914164,9.16E-11,0.343928258,C1
chr17,26556942,26557442,3.413056744,9.48E-11,0.270468588,C1
chr18,67553275,67553775,2.002471477,9.66E-11,0.343967249,C1
chr7,14022467,14022967,2.179194644,9.72E-11,0.228784746,C1
chr8,71123935,71124435,3.188902889,9.76E-11,0.154434393,C1
chr2,8422505,8423005,2.144976615,9.83E-11,0.26568558,C1
chr8,133994510,133995010,4.013334664,1.02E-10,0.162020779,C1
chr22,39461933,39462433,2.104909351,1.02E-10,0.311449951,C1
chr16,75045755,75046255,1.617422668,1.06E-10,0.244193624,C1
chr17,64651936,64652436,5.101194084,1.07E-10,0.199648138,C1
chr4,10811525,10812025,4.019888372,1.07E-10,0.209622799,C1
chr1,110230133,110230633,1.917782167,1.10E-10,0.183070722,C1
chr15,50427379,50427879,1.524716273,1.10E-10,0.364398711,C1
chr12,10710855,10711355,2.229749869,1.12E-10,0.297556767,C1
chr3,167742294,167742794,2.000112961,1.14E-10,0.25257851,C1
chr3,46021890,46022390,1.197287118,1.14E-10,0.308818268,C1
chr6,53096389,53096889,2.208219154,1.23E-10,0.247939698,C1
chr7,75925944,75926444,3.950119508,1.24E-10,0.218887775,C1
chr10,75837798,75838298,1.357471329,1.32E-10,0.339899822,C1
chr7,47353854,47354354,6.084058547,1.32E-10,0.19422557,C1
chr13,45329923,45330423,5.424035562,1.37E-10,0.154635908,C1
chr2,28498867,28499367,1.390887318,1.37E-10,0.333941313,C1
chr5,156816943,156817443,1.398459459,1.49E-10,0.319127605,C1
chr21,40340790,40341290,2.487614587,1.50E-10,0.189809063,C1
chr6,11786257,11786757,1.594779548,1.52E-10,0.322714489,C1
chr5,156527291,156527791,2.912499205,1.58E-10,0.262665193,C1
chr12,105324390,105324890,3.085460018,1.59E-10,0.203829934,C1
chr15,42091275,42091775,3.404794517,1.59E-10,0.118264374,C1
chr14,61995360,61995860,1.062890698,1.64E-10,0.306830284,C1
chr17,55517249,55517749,3.375647634,1.64E-10,0.194311771,C1
chr2,148222251,148222751,6.3891838,1.64E-10,0.167308575,C1
chr2,242244778,242245278,1.949092247,1.64E-10,0.234228034,C1
