Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
XPA,0.514885485,1.58E-05,0.000282522,,PTGFR,0.556109486,2.22E-06,5.87E-05,
LOC100131434,0.514815957,1.58E-05,0.000282925,,C9orf40,0.556087446,2.23E-06,5.87E-05,
TBC1D3B,0.514810921,1.58E-05,0.000282925,,AGMAT,0.555782367,2.26E-06,5.95E-05,
BIVM-ERCC5,0.514734569,1.59E-05,0.000283685,,GINS4,0.555509054,2.29E-06,6.01E-05,
CD151,0.514500208,1.61E-05,0.000286249,,ARHGAP11B,0.555497584,2.29E-06,6.01E-05,
C1orf201,0.514460645,1.61E-05,0.000286285,,KIRREL3-AS2,0.555297326,2.32E-06,6.06E-05,
CLU,0.514291992,1.62E-05,0.000287685,,PLXNA3,0.554819186,2.37E-06,6.19E-05,
C11orf80,0.514052964,1.64E-05,0.000290548,,ASF1B,0.55464109,2.40E-06,6.24E-05,
USP50,0.513931517,1.65E-05,0.000291428,,RND3,0.554530805,2.41E-06,6.26E-05,
MIR1299,0.513925103,1.65E-05,0.000291428,,VOPP1,0.554465172,2.42E-06,6.28E-05,
TFPI2,0.513921235,1.65E-05,0.000291428,,FLT4,0.554342258,2.43E-06,6.30E-05,
GPR37,0.513754382,1.66E-05,0.000293386,Lopez-Rios2006,SLC29A1,0.554260884,2.44E-06,6.32E-05,
CLDN12,0.513628534,1.67E-05,0.000294586,,CYTH2,0.554162345,2.45E-06,6.34E-05,
GABRE,0.513598888,1.67E-05,0.000294586,,PHLDB2,0.55408014,2.46E-06,6.36E-05,
AK8,0.512775936,1.73E-05,0.000304656,,SDC3,0.55405365,2.47E-06,6.36E-05,
HSD3BP4,0.512704233,1.74E-05,0.000305204,,PALLD,0.554027854,2.47E-06,6.37E-05,
RAD50,0.512428327,1.76E-05,0.000308077,,GPC6,0.553911538,2.49E-06,6.40E-05,
BARX2,0.512392864,1.76E-05,0.000308306,,TROAP,0.553796804,2.50E-06,6.43E-05,
FLJ13197,0.512379985,1.76E-05,0.000308306,,CAPRIN2,0.553497774,2.54E-06,6.52E-05,
RARRES3,0.512181514,1.78E-05,0.00031076,,C15orf42,0.553441804,2.55E-06,6.53E-05,
PDIA2,0.512072842,1.79E-05,0.000311433,,DONSON,0.553401088,2.55E-06,6.53E-05,
FAM70A,0.511894181,1.80E-05,0.000313674,,SRD5A1,0.553398101,2.55E-06,6.53E-05,
TMOD1,0.51143524,1.84E-05,0.000319194,,TMEM44,0.553372603,2.55E-06,6.53E-05,
EPS8L1,0.51134949,1.85E-05,0.000319958,Bueno2016(Sup.Table 2-Top50),NEIL3,0.55321739,2.57E-06,6.56E-05,
DPCD,0.511128332,1.86E-05,0.00032264,,GNG4,0.55316175,2.58E-06,6.57E-05,
PRKCI,0.510759305,1.89E-05,0.000327689,,KCTD5,0.552918808,2.61E-06,6.65E-05,
SCARA3,0.510618986,1.91E-05,0.00032926,,CSNK1E,0.552870375,2.62E-06,6.66E-05,
RPRD2,0.510437758,1.92E-05,0.000331206,,CLIP2,0.552745823,2.64E-06,6.69E-05,
KBTBD3,0.510342143,1.93E-05,0.000332143,,CCNB1,0.551307029,2.83E-06,7.15E-05,
ROGDI,0.510310058,1.93E-05,0.000332383,,RC3H2,0.551290266,2.84E-06,7.15E-05,
NAPEPLD,0.509905621,1.97E-05,0.000337403,,GPSM1,0.551113468,2.86E-06,7.20E-05,
TOMM7,0.509726499,1.98E-05,0.000339364,,POLQ,0.551017918,2.87E-06,7.22E-05,
MIR606,0.50904794,2.04E-05,0.000348161,,DENND5A,0.550885684,2.89E-06,7.26E-05,
KCND3,0.508971787,2.05E-05,0.000348847,,USP28,0.550807759,2.90E-06,7.28E-05,
KRTCAP3,0.508703381,2.07E-05,0.000352504,,RBL1,0.550508632,2.95E-06,7.37E-05,
SWT1,0.508701842,2.07E-05,0.000352504,,SNAI2,0.550274393,2.98E-06,7.45E-05,
CACNB2,0.508387345,2.10E-05,0.00035608,,HIST1H2BO,0.550090881,3.01E-06,7.51E-05,
C1orf51,0.50837747,2.10E-05,0.00035608,,INHBA,0.549689678,3.07E-06,7.63E-05,
IDNK,0.508175173,2.12E-05,0.000358026,,STC2,0.549542996,3.09E-06,7.68E-05,
LOC284440,0.507976898,2.14E-05,0.000360163,,KIFC1,0.549338936,3.12E-06,7.75E-05,
COQ7,0.507900225,2.15E-05,0.000360884,,GAS6,0.549103334,3.16E-06,7.84E-05,
CALCOCO1,0.507880858,2.15E-05,0.000360947,,TREX1,0.549030544,3.17E-06,7.84E-05,
BTC,0.507736956,2.16E-05,0.000362971,,MIR155,0.548915838,3.19E-06,7.87E-05,
LOC100128511,0.507600175,2.17E-05,0.000364893,,RBMX2,0.548911986,3.19E-06,7.87E-05,
COX20,0.507408077,2.19E-05,0.000367217,,TUBG1,0.548760062,3.22E-06,7.92E-05,
UBXN6,0.507244786,2.21E-05,0.000369585,,CARM1,0.548244956,3.30E-06,8.09E-05,
FAM63A,0.507037566,2.23E-05,0.000372181,,PLOD1,0.548243879,3.30E-06,8.09E-05,
WWC2,0.506438068,2.29E-05,0.000380466,,TMEM237,0.548171936,3.31E-06,8.11E-05,
FAM63B,0.506368271,2.29E-05,0.000381132,,MYO5A,0.548064902,3.33E-06,8.14E-05,
SIRT3,0.506367179,2.29E-05,0.000381132,,JPH2,0.54787573,3.36E-06,8.21E-05,
KIAA1522,0.506314136,2.30E-05,0.000381756,,UHRF2,0.547748977,3.38E-06,8.25E-05,
TRIQK,0.506133157,2.32E-05,0.000383998,,NFKBIB,0.547625933,3.40E-06,8.29E-05,
CLN3,0.505703468,2.36E-05,0.00038973,,NEK6,0.54749118,3.42E-06,8.33E-05,
PLXDC2,0.505699299,2.36E-05,0.00038973,,DDX39A,0.547388349,3.44E-06,8.37E-05,
SNORD105,0.505543237,2.38E-05,0.000391853,,ASL,0.547118124,3.49E-06,8.46E-05,
DOC2A,0.504855866,2.45E-05,0.000402594,,LOC100287177,0.546977273,3.51E-06,8.51E-05,
ASMTL-AS1,0.504656333,2.47E-05,0.00040554,,ITGB3,0.546808548,3.54E-06,8.57E-05,
PDPN,0.504599867,2.48E-05,0.000405998,,BMP1,0.54617082,3.65E-06,8.83E-05,
CYP3A5,0.504307449,2.51E-05,0.000410192,,FERMT2,0.546130652,3.66E-06,8.84E-05,
CD46,0.504287065,2.51E-05,0.000410192,,FCGR3A,0.546075249,3.67E-06,8.85E-05,
C6orf108,0.504261781,2.51E-05,0.000410344,,LOC100133299,0.546001525,3.68E-06,8.87E-05,
ATP2B1,0.504215227,2.52E-05,0.000410633,,STIP1,0.545759865,3.73E-06,8.97E-05,
MIR554,0.504071307,2.53E-05,0.000412647,,UCK2,0.545647961,3.75E-06,9.01E-05,
CACNA2D3,0.504033668,2.54E-05,0.000413048,,RAP1GDS1,0.545636723,3.75E-06,9.01E-05,
IL16,0.503870301,2.55E-05,0.000415152,,THSD1,0.545599749,3.76E-06,9.01E-05,
TSPYL2,0.502275974,2.74E-05,0.000441379,,CHEK1,0.545494479,3.78E-06,9.04E-05,
FAM8A1,0.502200058,2.74E-05,0.000442246,,HIST1H3B,0.545471088,3.78E-06,9.04E-05,
LOC728613,0.501596177,2.82E-05,0.000453219,,TBCD,0.54542743,3.79E-06,9.06E-05,
CCDC121,0.501391896,2.84E-05,0.000456894,,ARHGAP42,0.545393265,3.80E-06,9.06E-05,Bueno2016(Sup.Table 2-Top50)
SNORA60,0.501241554,2.86E-05,0.00045895,,TLL2,0.54522227,3.83E-06,9.13E-05,
GOLGA8J,0.500877875,2.90E-05,0.000465225,,TNIP1,0.544878816,3.89E-06,9.28E-05,
ERBB2,0.500806495,2.91E-05,0.000466343,,SAMD4A,0.544690623,3.93E-06,9.34E-05,
TRAM1,0.50073826,2.92E-05,0.000466807,,GNB4,0.544505367,3.96E-06,9.40E-05,
OR2A4,0.500415989,2.96E-05,0.000472256,,LRIG1,0.544319708,4.00E-06,9.47E-05,
DNAJC19,0.50040291,2.96E-05,0.000472256,,DPY19L2P1,0.543727955,4.12E-06,9.71E-05,
GPER,0.500305828,2.98E-05,0.000473166,,LEPREL2,0.543641158,4.14E-06,9.73E-05,
RHBDL2,0.500300836,2.98E-05,0.000473166,,CTTNBP2NL,0.543522024,4.16E-06,9.78E-05,
MET,0.500277299,2.98E-05,0.00047334,,ARHGEF18,0.543409576,4.18E-06,9.82E-05,
NBEA,0.500144457,3.00E-05,0.000475418,,TAF3,0.542991478,4.27E-06,9.99E-05,
PHKG2,0.499973154,3.02E-05,0.000477696,,SCYL1,0.542956111,4.28E-06,1.00E-04,
LOC648570,0.499972513,3.02E-05,0.000477696,,C11orf41,0.54287579,4.29E-06,0.000100191,
KRT5,0.499790556,3.04E-05,0.000480793,,DCAF15,0.542741045,4.32E-06,0.000100663,
LOC100505531,0.499359722,3.10E-05,0.000488735,,AP2S1,0.542303399,4.41E-06,0.00010254,
SH2B1,0.4993002,3.11E-05,0.000489662,,SLC31A1,0.542156626,4.45E-06,0.000103178,
LOC646543,0.499134262,3.13E-05,0.000492806,,PTPRG,0.542031138,4.47E-06,0.000103672,
SARM1,0.499090573,3.13E-05,0.000493409,,GALNT1,0.542019974,4.47E-06,0.000103672,
ZNF323,0.499012447,3.14E-05,0.000494734,,KPNA3,0.541885936,4.50E-06,0.000104252,
RAB3D,0.498392691,3.23E-05,0.000506601,,CAV1,0.54174195,4.54E-06,0.000104886,
PLEKHA6,0.49822749,3.25E-05,0.000509512,,HSPG2,0.541606414,4.57E-06,0.000105383,
ADI1,0.497943215,3.29E-05,0.000513475,,MTHFD1,0.541462469,4.60E-06,0.000106022,
EPHX1,0.497903442,3.29E-05,0.000513644,,GSTO1,0.541339797,4.62E-06,0.000106458,
BCRP2,0.497187814,3.39E-05,0.00052773,,SH2B3,0.541124761,4.67E-06,0.000107473,
NOXA1,0.496981424,3.42E-05,0.000530691,,MEX3C,0.541021944,4.70E-06,0.000107815,
KCNC4-AS1,0.496405135,3.51E-05,0.000540802,,WDHD1,0.541021178,4.70E-06,0.000107815,
WSB1,0.496400591,3.51E-05,0.000540802,,MIR619,0.54091591,4.72E-06,0.000108266,
PFKM,0.496314268,3.52E-05,0.000542433,,PPME1,0.54062523,4.79E-06,0.000109697,
GGA3,0.495854428,3.59E-05,0.000551981,,MIR3129,0.540347006,4.85E-06,0.000110977,
MAGI2-IT1,0.49526683,3.68E-05,0.000562634,,CDCA3,0.540220344,4.88E-06,0.000111555,
SLC14A2,0.495242219,3.68E-05,0.000562871,,THY1,0.540196786,4.89E-06,0.000111581,
CAMSAP2,0.495151996,3.70E-05,0.000564656,,PRPS2,0.540126929,4.90E-06,0.000111728,
UBN2,0.495124528,3.70E-05,0.000564962,,BCL6B,0.540098011,4.91E-06,0.000111728,
PTPRQ,0.494926559,3.73E-05,0.000568621,,TNFRSF12A,0.54009421,4.91E-06,0.000111728,
CARHSP1,0.494800599,3.75E-05,0.000570929,,PLXNA1,0.540074625,4.92E-06,0.000111732,
RPRM,0.494284677,3.83E-05,0.000581597,,IDH2,0.540003893,4.93E-06,0.000111911,
ZNF181,0.494238696,3.84E-05,0.000582362,,GARS,0.539626626,5.02E-06,0.00011386,
ZNF138,0.494171578,3.85E-05,0.000583372,,POLE2,0.539432807,5.07E-06,0.000114823,
LOC100130987,0.494031243,3.87E-05,0.000586359,,CMTM3,0.539401322,5.08E-06,0.000114894,
CXCL1,0.493563883,3.95E-05,0.000596447,,COQ3,0.539362939,5.09E-06,0.000114899,
CSAD,0.493485852,3.96E-05,0.000598027,,RQCD1,0.53926642,5.11E-06,0.000115147,
ABO,0.493456577,3.97E-05,0.000598397,,MIR1305,0.539262095,5.11E-06,0.000115147,
C1orf9,0.493400864,3.98E-05,0.000599426,,NONO,0.539039524,5.17E-06,0.000116177,
TCEB3B,0.492962594,4.05E-05,0.000608985,,TTC7B,0.538942534,5.19E-06,0.000116615,
PEX19,0.492947001,4.05E-05,0.000609015,,RCOR1,0.538886716,5.21E-06,0.000116824,
SPTAN1,0.492809298,4.08E-05,0.000612141,,TFPT,0.538831524,5.22E-06,0.000117029,
ARL14EP,0.492635015,4.11E-05,0.000615298,,MYB,0.538743891,5.24E-06,0.000117417,
DISP1,0.492613492,4.11E-05,0.000615298,,DNM1L,0.538625444,5.27E-06,0.000117772,
MIR339,0.492400984,4.15E-05,0.000619762,,MAGED2,0.538573851,5.28E-06,0.000117854,
C4orf36,0.492343705,4.16E-05,0.000620743,,E2F3,0.538262358,5.36E-06,0.000119521,
FBXO36-IT1,0.492215572,4.18E-05,0.000623678,,CUL4B,0.538237007,5.37E-06,0.00011956,
TNRC6A,0.492014551,4.21E-05,0.000627775,,FAM100B,0.538207596,5.38E-06,0.000119623,
CCDC125,0.491771005,4.26E-05,0.000632693,,SUPT3H,0.53792059,5.45E-06,0.000121064,
SDIM1,0.491768829,4.26E-05,0.000632693,,TBCB,0.537848946,5.47E-06,0.000121265,
RERG-AS1,0.491591465,4.29E-05,0.000636224,,NOX4,0.537781566,5.49E-06,0.00012155,
CLUAP1,0.490466632,4.49E-05,0.000659242,,NSMAF,0.537750336,5.50E-06,0.000121624,
ARL2BP,0.490460481,4.49E-05,0.000659242,,C18orf54,0.537494405,5.56E-06,0.000122905,
KRT18,0.490186743,4.54E-05,0.000664691,,PCMT1,0.537180899,5.65E-06,0.000124541,
SUSD3,0.490138621,4.55E-05,0.000665322,,OLFML2B,0.537043502,5.69E-06,0.000125173,Bueno2016(Sup.Table 2-Top50)
TTC22,0.489851365,4.61E-05,0.000672061,,ALDH1L2,0.537038081,5.69E-06,0.000125173,
C19orf21,0.489746485,4.63E-05,0.000674184,,OR6B3,0.536770206,5.76E-06,0.000126561,
DAK,0.489703298,4.63E-05,0.00067483,,SLC16A13,0.536596974,5.81E-06,0.0001275,
MCCC2,0.48953035,4.67E-05,0.000678627,,CAPN5,0.536311041,5.89E-06,0.000129135,
SNORD105B,0.4894892,4.68E-05,0.000679347,,FAM98A,0.536063601,5.96E-06,0.000130551,
ANKAR,0.489475255,4.68E-05,0.000679347,,HYAL2,0.536017612,5.97E-06,0.000130723,
VLDLR,0.489281993,4.72E-05,0.000683609,,NDOR1,0.535900163,6.00E-06,0.000131227,
LSAMP,0.489234593,4.72E-05,0.000684454,,NCAPD3,0.535648762,6.08E-06,0.000132689,
ARMC10,0.488755327,4.82E-05,0.000696133,,SEC16A,0.535580537,6.10E-06,0.000133004,
TRIP6,0.488687834,4.83E-05,0.00069726,,THBS1,0.535500068,6.12E-06,0.000133398,
AMMECR1,0.488532522,4.86E-05,0.000700907,,ADORA2B,0.535095847,6.24E-06,0.000135864,
FRMD4B,0.488401414,4.89E-05,0.000703874,,FAM219A,0.535077161,6.24E-06,0.000135866,
LINC00473,0.488247565,4.92E-05,0.000707106,,CAV3,0.534968143,6.28E-06,0.000136335,
RABL5,0.488232212,4.92E-05,0.000707146,,MAN2A1,0.534968033,6.28E-06,0.000136335,
TCTN2,0.488069897,4.96E-05,0.000711046,,CEBPG,0.534772396,6.33E-06,0.000137486,
CDK5RAP3,0.487688642,5.03E-05,0.000720571,,EXOC5,0.534528631,6.41E-06,0.000138963,
NSUN3,0.487508509,5.07E-05,0.000724654,,FLJ22447,0.534476548,6.42E-06,0.000139186,
UFSP2,0.487276444,5.12E-05,0.000730071,,LARP6,0.534023389,6.56E-06,0.000141591,
LOC284263,0.487270456,5.12E-05,0.000730071,,F3,0.533942642,6.59E-06,0.000141891,
LMTK2,0.486947858,5.19E-05,0.000736398,,ST6GALNAC5,0.53394238,6.59E-06,0.000141891,
PTGR2,0.486847511,5.21E-05,0.000738166,,LCTL,0.533921442,6.59E-06,0.00014191,
ROBO3,0.486466964,5.29E-05,0.000748431,,F2R,0.533560559,6.71E-06,0.000144102,
MIR4454,0.486439544,5.30E-05,0.000748845,,C11orf30,0.533367058,6.77E-06,0.000145176,
ARHGEF33,0.486206891,5.35E-05,0.000754694,,KCNIP3,0.533100881,6.85E-06,0.000146844,
LOC440434,0.486166321,5.36E-05,0.000755516,,GDI1,0.533088596,6.86E-06,0.000146844,
CEP95,0.485980691,5.40E-05,0.000759534,,CLPB,0.532863193,6.93E-06,0.000148033,
SMARCAD1,0.485802436,5.44E-05,0.0007642,,SEC13,0.532424758,7.08E-06,0.000150863,
RNPC3,0.485692691,5.46E-05,0.000767184,,TOMM34,0.532313883,7.11E-06,0.000151486,
GPR125,0.485638996,5.47E-05,0.000768,,OSBPL6,0.532163395,7.16E-06,0.000152211,
FAM95B1,0.485491511,5.50E-05,0.000771249,,SPC24,0.531810033,7.28E-06,0.000154627,
HYDIN,0.485480039,5.51E-05,0.000771249,,TMEM158,0.531523212,7.38E-06,0.000156458,
LRRC20,0.485438954,5.52E-05,0.000771676,,MANBA,0.53136614,7.44E-06,0.000157481,
ZNF219,0.485375344,5.53E-05,0.00077324,,TOP2A,0.530950054,7.58E-06,0.00016031,
CETN2,0.485354881,5.54E-05,0.000773452,,CDA,0.530917678,7.59E-06,0.000160419,
TFDP2,0.485297054,5.55E-05,0.000774084,,COBRA1,0.530851031,7.62E-06,0.00016065,
RIMKLA,0.485279994,5.55E-05,0.000774084,,R3HDM1,0.530513351,7.74E-06,0.000163035,
CENPC1,0.484887556,5.64E-05,0.000785188,,TIMM50,0.530495195,7.75E-06,0.000163035,
SLC50A1,0.484755197,5.67E-05,0.000788971,,DCDC2,0.530482113,7.75E-06,0.000163035,
FAM20B,0.484732969,5.68E-05,0.000789245,,TAOK3,0.530211741,7.85E-06,0.000164969,
LINC00328,0.484614363,5.70E-05,0.000792605,,RNASEH2A,0.52995439,7.94E-06,0.000166823,
EGFR,0.484509292,5.73E-05,0.000795542,,FIBP,0.529637434,8.06E-06,0.000169135,
TTC23,0.484312516,5.77E-05,0.000800726,,PCGF6,0.529610842,8.07E-06,0.000169135,
CCDC11,0.484024753,5.84E-05,0.000808154,,RNF121,0.529396847,8.15E-06,0.000170646,
FAM185A,0.483822789,5.89E-05,0.000813877,,PMAIP1,0.529222746,8.22E-06,0.000171606,
NUPR1L,0.483768722,5.90E-05,0.000814696,,MYADM,0.529130428,8.25E-06,0.000172202,
RNF24,0.483757043,5.91E-05,0.000814696,,HIC1,0.529074925,8.28E-06,0.000172504,
STIM2,0.483736541,5.91E-05,0.000814923,,SNX5,0.528980678,8.31E-06,0.000173119,
TFAP2C,0.483385875,5.99E-05,0.000825627,,PPP5C,0.528615512,8.45E-06,0.000175791,
TJP2,0.483315229,6.01E-05,0.000827075,,APEX2,0.528496897,8.50E-06,0.000176617,
C17orf69,0.48322213,6.03E-05,0.00082973,,SH3BGRL3,0.528125269,8.65E-06,0.000179393,
SMTNL2,0.483171518,6.05E-05,0.000829814,,MAPRE1,0.528043369,8.68E-06,0.000179788,
SNORD94,0.483158224,6.05E-05,0.000829814,,SMYD3,0.528028172,8.69E-06,0.000179788,
CANX,0.483117524,6.06E-05,0.000830509,,IGFBP3,0.528001649,8.70E-06,0.000179831,
SSR2,0.482993034,6.09E-05,0.000833774,,IGLV3-32,0.527665843,8.84E-06,0.000181904,
RN5S45,0.482937226,6.10E-05,0.000835195,,BRCA2,0.527564261,8.88E-06,0.000182437,
LINC00571,0.482775732,6.14E-05,0.000840184,,FAM225B,0.527541718,8.89E-06,0.000182437,
TMED10,0.48258712,6.19E-05,0.00084541,,TCOF1,0.527210914,9.02E-06,0.000184866,
TPI1P2,0.482500743,6.21E-05,0.000846765,,SNX11,0.527175789,9.04E-06,0.000185016,
SLC35F5,0.482236182,6.28E-05,0.000854426,,SHISA4,0.527158128,9.05E-06,0.000185017,
LOC389765,0.482057448,6.32E-05,0.000860116,,YARS,0.527131974,9.06E-06,0.00018509,
ELMOD2,0.481701518,6.41E-05,0.000871547,,DMPK,0.527066195,9.08E-06,0.000185503,
F11R,0.481521049,6.46E-05,0.000876928,,ARL4C,0.526865752,9.17E-06,0.000186926,
COX7C,0.481343056,6.51E-05,0.000881962,,NXPE3,0.526732206,9.23E-06,0.000187778,
FBXW11,0.481046832,6.58E-05,0.000890379,,TSPAN5,0.526679025,9.25E-06,0.000188087,
PEX2,0.480982247,6.60E-05,0.000892204,,KCTD17,0.526606459,9.28E-06,0.000188538,
STAU2,0.48095508,6.61E-05,0.000892694,,XPOT,0.526592164,9.29E-06,0.000188538,
PHF14,0.480466644,6.74E-05,0.000906889,,DTD1,0.526479326,9.33E-06,0.000189217,
LOC340017,0.480367543,6.77E-05,0.000909719,,MYO9B,0.526287241,9.42E-06,0.000190375,
SETMAR,0.480107919,6.84E-05,0.000917517,,C7orf10,0.526071583,9.51E-06,0.000191726,
CNTNAP3,0.480046496,6.85E-05,0.000918788,,MMS22L,0.525927943,9.57E-06,0.00019269,
ANKRD16,0.479804057,6.92E-05,0.000925741,,GDF11,0.525829994,9.62E-06,0.000193407,
ZNF397,0.479620891,6.97E-05,0.000932029,,LOC100653350,0.525771745,9.64E-06,0.000193771,
C1orf27,0.479548732,6.99E-05,0.000934215,,ARHGAP10,0.525677721,9.69E-06,0.000194167,Bueno2016(Sup.Table 2-Top50)
CLRN3,0.479306327,7.06E-05,0.000942276,,FBXL12,0.52567534,9.69E-06,0.000194167,
CATSPER2P1,0.478897814,7.17E-05,0.000955686,,PINX1,0.525395096,9.81E-06,0.000196374,
GARNL3,0.478701926,7.23E-05,0.000961119,,GLO1,0.525110719,9.94E-06,0.00019823,
RDH10,0.478311916,7.34E-05,0.000973546,,AKIP1,0.52510396,9.94E-06,0.00019823,
LOC100506372,0.478224628,7.37E-05,0.000976102,,TNFRSF6B,0.525103953,9.94E-06,0.00019823,
PIP5K1B,0.47791223,7.46E-05,0.000985983,,CPZ,0.525014513,9.99E-06,0.000198569,
C14orf79,0.47765809,7.54E-05,0.000993138,,ASAP1-IT1,0.524997848,9.99E-06,0.000198569,
TMED4,0.477523046,7.58E-05,0.000996418,,EXT2,0.524513336,1.02E-05,0.000202594,
USO1,0.477514109,7.58E-05,0.000996418,,CCDC150,0.524504023,1.02E-05,0.000202594,
TMEM59,0.477388002,7.62E-05,0.001000358,,MTSS1L,0.524491773,1.02E-05,0.000202594,
FLOT2,0.477143598,7.69E-05,0.001007445,,CEP85,0.524218681,1.04E-05,0.000204479,
ATPAF1,0.477030582,7.73E-05,0.001010903,,SERPINH1,0.52420393,1.04E-05,0.000204479,
FANK1,0.476967776,7.74E-05,0.001012652,,SH3GL1,0.524168255,1.04E-05,0.000204653,
MAPK3,0.476865681,7.78E-05,0.001015399,,TSHZ3,0.524019287,1.05E-05,0.000205893,
GEMIN8,0.476810181,7.79E-05,0.001016044,,GALNT2,0.523694976,1.06E-05,0.000208459,
SCAI,0.476786667,7.80E-05,0.001016461,,INHBB,0.523680233,1.06E-05,0.000208459,
DKFZP586I1420,0.476202865,7.98E-05,0.001037101,,TMEM181,0.523313259,1.08E-05,0.000211654,
HIPK3,0.476100277,8.01E-05,0.001040018,,DNMT3B,0.523267838,1.08E-05,0.000211764,
SLCO3A1,0.47608807,8.02E-05,0.001040018,,LOC541471,0.523107743,1.09E-05,0.000212986,
ZNF546,0.475988092,8.05E-05,0.001043048,,PCDH17,0.522932986,1.10E-05,0.000214192,
ADHFE1,0.475691806,8.14E-05,0.001054747,,MYL9,0.522739807,1.11E-05,0.00021592,
CRIM1,0.475662973,8.15E-05,0.001055401,,C5orf46,0.522720008,1.11E-05,0.000215948,
PEX11A,0.475247001,8.29E-05,0.001069515,,ORC6,0.522356661,1.13E-05,0.000219062,
TTC14,0.474919489,8.40E-05,0.001081696,,PDGFRB,0.522339577,1.13E-05,0.000219062,
RIC3,0.474887925,8.41E-05,0.001082483,,TBC1D20,0.522237105,1.13E-05,0.0002199,
CLYBL,0.474741415,8.45E-05,0.00108817,,NUS1,0.521784443,1.16E-05,0.000223442,
TSTD1,0.474375295,8.58E-05,0.001101978,,CEP250,0.521678415,1.16E-05,0.000224088,
C9orf9,0.474271449,8.61E-05,0.001104457,,MIR2116,0.521670307,1.16E-05,0.000224088,
KANSL3,0.473899692,8.74E-05,0.001117807,,TOMM40,0.521559799,1.17E-05,0.000225043,
LOC730091,0.473819167,8.77E-05,0.001120766,,FAM91A1,0.521479321,1.17E-05,0.000225695,
RSPH1,0.473610328,8.84E-05,0.001128813,,CBFB,0.521247909,1.19E-05,0.000227904,
PDE7B,0.473365324,8.92E-05,0.001138522,,POLR3G,0.520880773,1.21E-05,0.000231452,
SNORD96B,0.473325388,8.94E-05,0.001139722,,LSM7,0.520658055,1.22E-05,0.000233369,
PLSCR4,0.473219895,8.97E-05,0.00114327,,SLC9A6,0.520598343,1.22E-05,0.000233823,
C8orf40,0.472958386,9.07E-05,0.001151503,,HIST1H1B,0.520550451,1.22E-05,0.000234096,
NEIL1,0.472890002,9.09E-05,0.001152833,,COL1A1,0.520538993,1.22E-05,0.000234096,
SPATA4,0.47267217,9.17E-05,0.001160916,,EPSTI1,0.520493487,1.23E-05,0.0002344,
FBXO21,0.472466616,9.24E-05,0.0011664,,LPP,0.520338663,1.24E-05,0.00023587,
LOC202181,0.472436914,9.25E-05,0.0011664,,ZNF428,0.519972059,1.26E-05,0.000239199,
TBCK,0.472106054,9.37E-05,0.001178499,,DEPDC1B,0.519961742,1.26E-05,0.000239199,
GPR42,0.472061855,9.39E-05,0.001179938,,CMTM7,0.519888008,1.26E-05,0.000239816,
CD47,0.471982642,9.42E-05,0.001182399,,EME1,0.519759183,1.27E-05,0.000241033,
TUFT1,0.4717581,9.50E-05,0.001191583,,FBLN7,0.519612364,1.28E-05,0.000242391,
SHC2,0.47173527,9.51E-05,0.001192047,,NETO2,0.519200514,1.30E-05,0.000246073,
AGXT2L1,0.471718186,9.51E-05,0.001192245,,ZNF827,0.518752556,1.33E-05,0.000250337,
KIAA1244,0.471548644,9.58E-05,0.001198002,,SESTD1,0.518686194,1.33E-05,0.000250898,
ISYNA1,0.471235443,9.69E-05,0.0012118,,C8orf58,0.518596442,1.34E-05,0.000251695,
MBNL3,0.470662747,9.91E-05,0.0012357,,DKC1,0.518318056,1.35E-05,0.000253757,
SDHAP2,0.470655203,9.92E-05,0.0012357,,STARD13-IT1,0.518118752,1.37E-05,0.00025566,
LEKR1,0.470520091,9.97E-05,0.001241571,,UBAC1,0.518043186,1.37E-05,0.000256338,
PRDX2,0.470364759,0.000100275,0.001247827,,NGF,0.518017001,1.37E-05,0.000256449,
COQ9,0.470174764,0.000101015,0.001255175,,ANP32E,0.517968603,1.38E-05,0.000256817,
LOC100507291,0.469924626,0.000101998,0.001265324,,CEP152,0.517791876,1.39E-05,0.000258671,
FAM193B,0.469827614,0.000102381,0.001268382,,EXO1,0.517317735,1.42E-05,0.000263645,
RNU105B,0.469545552,0.000103503,0.00127976,,SP2,0.517254711,1.42E-05,0.000264195,
C17orf108,0.469511388,0.00010364,0.00128082,,DLG4,0.517224084,1.42E-05,0.000264362,
PPCS,0.469056225,0.000105476,0.001302239,,KIAA1967,0.516902382,1.44E-05,0.000267803,
ZMAT1,0.468685985,0.000106992,0.001317721,,CYB5R3,0.516847919,1.45E-05,0.000267863,
KRT15,0.468595908,0.000107364,0.001320397,,PAPD7,0.516807108,1.45E-05,0.000268155,
KIAA1598,0.46847548,0.000107863,0.001325201,,ADRM1,0.516771803,1.45E-05,0.000268382,
ACACB,0.468124915,0.000109328,0.001339923,,IL2RA,0.5165441,1.47E-05,0.000270334,
DAPK2,0.467963911,0.000110007,0.001346274,,NDEL1,0.516436653,1.47E-05,0.000271039,
SERPING1,0.467935778,0.000110126,0.001346636,,CSTF2,0.515943635,1.51E-05,0.000276467,
ALPK1,0.467876387,0.000110378,0.001347902,,LASP1,0.515900158,1.51E-05,0.000276802,
